Add Public Update,إضافة تحديث عام
Additional Instruction,تعليمات إضافية
Advisor,المستشار
Advisor Queue,قائمة عمل المستشار
Advisor User,المستشار
Agency Officer,موظف الجهة
Agency Officer User,موظف الجهة
Agency Queue,قائمة عمل موظف الجهة
AI Analysis JSON,تحليل JSON بالذكاء الاصطناعي
AI Assistant,مساعد الذكاء الاصطناعي
AI Case Summary,ملخص الحالة بالذكاء الاصطناعي
AI Citizen Message,رسالة المواطن المقترحة بالذكاء الاصطناعي
AI Key Elements,العناصر المستخرجة بالذكاء الاصطناعي
AI Last Provider,آخر مزوّد ذكاء اصطناعي
AI Last Run On,آخر تشغيل للذكاء الاصطناعي
AI Logs,سجلات الذكاء الاصطناعي
AI operational exceptions detected,تم رصد استثناءات تشغيلية مرتبطة بالذكاء الاصطناعي
AI processing errors detected,تم رصد أخطاء في معالجة الذكاء الاصطناعي
AI Reasoning,التعليل بالذكاء الاصطناعي
AI Recommended Actions,الإجراءات المقترحة بالذكاء الاصطناعي
AI Risk Flags,مؤشرات الخطورة بالذكاء الاصطناعي
AI Subject Classification,تصنيف الموضوع بالذكاء الاصطناعي
AI Suggested Category,التصنيف المقترح بالذكاء الاصطناعي
AI Suggested Entity,الجهة المقترحة بالذكاء الاصطناعي
AI Suggested Priority,الأولوية المقترحة بالذكاء الاصطناعي
AI Suggested Reply,الرد المقترح بالذكاء الاصطناعي
All Time,كل الفترات
Allow Citizen SMS,السماح برسائل SMS للمواطن
Allow Citizen Telegram,السماح بتيليجرام للمواطن
Allow Citizen WhatsApp,السماح برسائل واتساب للمواطن
Allow Email Verification,السماح بالتحقق عبر البريد الإلكتروني
Allow SMS Verification,السماح بالتحقق عبر الرسائل القصيرة
Allow Staff SMS,السماح برسائل SMS للموظفين
Allow Staff Telegram,السماح بتيليجرام للموظفين
Allow Staff WhatsApp,السماح برسائل واتساب للموظفين
Allow Telegram Verification,السماح بالتحقق عبر تيليجرام
Allow WhatsApp Verification,السماح بالتحقق عبر واتساب
Apply AI Recommendations,تطبيق توصيات الذكاء الاصطناعي
Apply Assistant Fields,تطبيق حقول المساعد
Apply Filters,تطبيق الفلاتر
Apply to Source Field,تطبيق على الحقل المصدر
Apply to Target Field,تطبيق على الحقل الهدف
Applying AI recommendations...,جارٍ تطبيق توصيات الذكاء الاصطناعي...
Assign,إحالة
Assign Case,إحالة الحالة
Assigned To,مُحال إلى
Assignments,الإحالات
Assistant results applied to AI fields,تم تطبيق نتائج المساعد على حقول الذكاء الاصطناعي
Attempts,المحاولات
Avg Satisfaction,متوسط الرضا
Blocked requests observed,تم رصد طلبات محظورة
Case Type,نوع الطلب
Cases,الحالات
Cases in waiting-citizen state may need reminders or closure decisions.,الحالات في وضع انتظار المواطن قد تحتاج تذكيرًا أو قرارًا بالإغلاق.
Category,التصنيف
Citizen Channels,قنوات المواطن
Citizen District,مديرية المواطن
Citizen Full Name,اسم المواطن
Citizen Governorate,محافظة المواطن
Citizen Message,رسالة للمواطن
Citizen Satisfaction,رضا المواطنين
Citizen satisfaction appears low; review service quality and closure communications.,يبدو أن رضا المواطنين منخفض؛ يرجى مراجعة جودة الخدمة ورسائل الإغلاق.
Citizen User,مستخدم المواطن
Classification,التصنيف
Complaint AI Log,سجل عمليات الذكاء الاصطناعي
Complaint AI Settings,إعدادات الذكاء الاصطناعي للشكاوى
Complaint Case,ملف الشكوى / التظلم
Complaint Cases,حالات الشكاوى والتظلمات
Complaint Category,تصنيف الشكوى
Complaint Identity Verification,التحقق من هوية مقدم الشكوى
Complaint Notification Settings,إعدادات إشعارات الشكاوى
Complaint Security Event,حدث أمني للشكاوى
Complaint Summary,ملخص الشكاوى
Complaint Summary Report,تقرير ملخص الشكاوى
Confidentiality Level,مستوى السرية
"Configure AI providers, models, and intake assistant behavior for complaint operations.",إعداد مزودات الذكاء الاصطناعي والنماذج وسلوك المساعد الذكي لعمليات الشكاوى.
"Configure email, SMS, and WhatsApp endpoints for complaint notifications.",إعداد البريد الإلكتروني ونقاط ربط الرسائل القصيرة وواتساب لإشعارات الشكاوى.
"Configure SLA, routing defaults, priority behavior, and AI-assisted classification notes for complaints.",إعداد معايير SLA والتوجيه الافتراضي وسلوك الأولوية وملاحظات التصنيف المدعومة بالذكاء الاصطناعي.
Contact Value,قيمة جهة الاتصال
Copied to clipboard,تم النسخ إلى الحافظة
Copy,نسخ
Copy to clipboard failed.,تعذر النسخ إلى الحافظة.
Core leadership indicators are stable within the current dashboard scope.,المؤشرات القيادية الأساسية مستقرة ضمن نطاق الداشبورد الحالي.
Critical,حرج
Critical security events detected,تم رصد أحداث أمنية حرجة
Current Country,الدولة الحالية
Current resolution SLA rate is {0}% within the selected scope.,نسبة الحسم الحالية ضمن SLA هي {0}% في النطاق المحدد.
DeepSeek API Key,مفتاح DeepSeek
DeepSeek Endpoint,رابط DeepSeek
DeepSeek Model,نموذج DeepSeek
Default Country Code,رمز الدولة الافتراضي
Default Provider,المزوّد الافتراضي
Details,التفاصيل
Dimension,البعد
District,المديرية
District Name (AR),اسم المديرية عربي
District Name (EN),اسم المديرية إنجليزي
